conm,gvkey,tic
AAR CORP,001004,AIR
ACF INDUSTRIES HOLDING CORP,001010,4165A
ADC TELECOMMUNICATIONS INC,001013,ADCT
AFA PROTECTIVE SYSTEMS INC,001019,AFAP
AFP IMAGING CORP,001021,IWKS
ALPHARMA INC  -CL A,001034,ALO.2
UNITED DOMINION INDUSTRIES,001036,UDI.
AM COMMUNICATIONS INC,001037,AMCM.
AMC ENTERTAINMENT INC -OLD,001038,AEN.2
MULTIGRAPHICS INC,001043,MTI.3
AMERICAN AIRLINES GROUP INC,001045,AAL
ANR PIPELINE CO,001048,4267A
CECO ENVIRONMENTAL CORP,001050,CECE
AEROFLEX INC,001056,ARXX
ASA GOLD AND PRECIOUS METALS,001062,ASA
AVX CORP,001072,AVX
PINNACLE WEST CAPITAL CORP,001075,PNW
AARON'S INC,001076,AAN
ABBOTT LABORATORIES,001078,ABT
ABITIBI CONSOLIDATED INC,001081,ABY.2
SERVIDYNE INC,001082,SERV.1
WORLDS INC,001084,WDDD
ACETO CORP,001094,ACETQ
ACKERLEY GROUP INC,001095,AK
MORGUARD CORP,001096,MRCBF
ACMAT CORP  -CL A,001097,ACMTA
ACME ELECTRIC CORP,001099,ACEE
ACME UNITED CORP,001104,ACU
ACE HARDWARE CORP,001107,2675B
COREWAFER INDUSTRIES INC,001109,AHIX
ACTIVISION INC,001111,ATVI.1
ADAC LABORATORIES,001115,ADAC.
BK TECHNOLOGIES CORP,001117,BKTI
ADAMS DIVERSIFIED EQUITY FD,001119,ADX
ADAMS RESOURCES & ENERGY INC,001121,AE
ADVEST GROUP INC,001148,ADV.2
AERO SYSTEMS ENGINEERING INC,001154,AERS.
ADVANCED MICRO DEVICES,001161,AMD
MCI INC,001164,MCIP
B-FAST CORP,001165,BFTC
ASM INTERNATIONAL NV,001166,ASMIY
AEROSONIC CORP,001173,AIM
AETNA INC,001177,AET
IDNA INC,001183,IDAI
AGNICO EAGLE MINES LTD,001186,AEM
AGRA INDUSTRIES LTD,001189,AGR.7
AGWAY INC,001193,1900B
AIR PRODUCTS & CHEMICALS INC,001209,APD
AIR T INC,001210,AIRT
AIRBORNE INC,001213,ABF
