conm,gvkey,tic,year,num_reports
21ST CENTURY TECHNOLOGIES,62211,TFCYQ,2008,1
21ST CENTURY TECHNOLOGIES,62211,TFCYQ,2010,1
AAIPHARMA INC,63604,AAIIQ.1,2005,1
AAIPHARMA INC,63604,AAIIQ.1,2008,1
ABB LTD,210418,ABB,2004,1
ABB LTD,210418,ABB,2006,1
ABB LTD,210418,ABB,2010,1
ACLN LTD,112048,ACLNF,2002,1
ACTIVISION INC,1111,ATVI.1,2011,1
ADVANCED MARKETING SERVICES,13503,MKTSQ.,2005,2
AEROSONIC CORP,1173,AIM,2004,1
AEROSONIC CORP,1173,AIM,2006,2
AEROSONIC CORP,1173,AIM,2009,1
AFFILIATED COMPUTER SERVICES,30697,ACS,2010,1
AKORN INC,14304,AKRX,2003,2
ALCATEL-LUCENT,101352,ALU,2007,1
ALLIED CAPITAL CORP,116004,ALD.1,2007,1
ALLSTATE CORP,28349,ALL,2010,1
AMERICAN BANKNOTE CORP,6062,3ABNTQ,2001,5
AMERICAN BANKNOTE CORP,6062,3ABNTQ,2003,2
AMERICAN BANKNOTE CORP,6062,3ABNTQ,2004,2
AMERICAN CLASSIC VOYAGES CO,3862,AMCVQ,2001,1
AMERICAN INTERNATIONAL GROUP,1487,AIG,2003,5
AMERICAN INTERNATIONAL GROUP,1487,AIG,2004,1
AMERICAN INTERNATIONAL GROUP,1487,AIG,2005,1
AMERICAN INTERNATIONAL GROUP,1487,AIG,2006,4
AMERICAN INTERNATIONAL GROUP,1487,AIG,2007,2
AMERICAN INTERNATIONAL GROUP,1487,AIG,2009,4
AMERICAN INTERNATIONAL GROUP,1487,AIG,2010,2
AMERSHAM PLC,100423,AHM.2,2010,1
ANDRX CORP,63051,ADRX,2003,2
ANICOM INC,31551,ANIC,2004,1
APPLIX INC,31144,APLX,2006,1
ARTHROCARE CORP,61996,ARTC,2011,2
ARTHROCARE CORP,61996,ARTC,2012,1
ASCENTIAL SOFTWARE CORP,12587,ASCL,2002,1
AT&T CORP,1581,T.2,2000,1
ATCHISON CASTING CORP,28958,AHNCQ,2002,1
AURA SYSTEMS INC,14913,AUSI,2000,1
AURA SYSTEMS INC,14913,AUSI,2001,1
AURORA FOODS INC,112088,3AURFQ,2001,2
AURORA FOODS INC,112088,3AURFQ,2004,1
AURORA FOODS INC,112088,3AURFQ,2005,2
AVERY DENNISON CORP,1913,AVY,2009,2
AVON PRODUCTS,1920,AVP,2002,2
AXA SA,63120,AXAHY,2007,1
AXS-ONE INC,61253,3AXSO,2001,1
BAE SYSTEMS PLC,63477,BAESY,2011,1
BAKER HUGHES INC,1976,BHI,2001,3
BAKER HUGHES INC,1976,BHI,2004,1
BAKER HUGHES INC,1976,BHI,2007,1
BALDOR ELECTRIC CO,1981,BEZ,2011,1
BALL CORP,1988,BLL,2011,1
BANCINSURANCE CORP,23118,BCIS,2009,1
BANK OF AMERICA CORP,7647,BAC,2001,1
BANK OF MONTREAL,15580,BMO,2008,1
BE INC,122075,BEOSZ,2000,11
BE INC,122075,BEOSZ,2001,6
BE INC,122075,BEOSZ,2002,4
BE INC,122075,BEOSZ,2003,10
BE INC,122075,BEOSZ,2004,6
BE INC,122075,BEOSZ,2005,13
BE INC,122075,BEOSZ,2006,10
BE INC,122075,BEOSZ,2007,6
BE INC,122075,BEOSZ,2008,4
BE INC,122075,BEOSZ,2009,6
BE INC,122075,BEOSZ,2010,5
BE INC,122075,BEOSZ,2011,4
BE INC,122075,BEOSZ,2012,2
BELLSOUTH CORP,2146,BLS,2002,2
BELLSOUTH TELECOMMUNICATIONS,9844,BLS1,2004,1
BELLSOUTH TELECOMMUNICATIONS,9844,BLS1,2005,1
BERKSHIRE HATHAWAY,2176,BRK.B,2010,1
BIOMET INC,2230,5938B,2012,1
BJ SERVICES CO,22794,BJS.1,2004,1
BLACK BOX CORP,26012,BBOX,2009,2
BNP PARIBAS,15532,BNPQY,2011,1
BOSTON SCIENTIFIC CORP,25279,BSX,2000,1
BOX INC,20088,BOX,2003,1
BRIGHTPOINT INC,30006,CELL,2003,1
BRILLIAN CORP,155753,BRLC.,2011,2
BRILLIAN CORP,155753,BRLC.,2012,3
BRISTOL-MYERS SQUIBB CO,2403,BMY,2004,1
BRISTOL-MYERS SQUIBB CO,2403,BMY,2005,1
BRISTOW GROUP INC,8092,BRSWQ,2007,1
BROADCOM CORP,66708,BRCM,2008,2
BROOKE CAPITAL CORP,178027,BRKC,2011,4
BROOKE CORP,151222,BXXXQ,2011,4
CA INC,3310,CA,2000,2
CA INC,3310,CA,2010,1
CALIFORNIA SOFTWARE CORP,123716,3CAWC,2002,7
CAMBREX CORP,13839,CBM,2007,1
CANADIAN IMPERIAL BANK,15581,CM,2003,1
CANADIAN IMPERIAL BANK,15581,CM,2004,1
CAR INC,170614,CARH,2002,1
CAR INC,170614,CARH,2003,1
CATERPILLAR INC,2817,CAT,2002,1
CATERPILLAR INC,2817,CAT,2003,2
CATERPILLAR INC,2817,CAT,2005,1
CHANCELLOR CORP,2922,CHLR,2003,3
CHANCELLOR CORP,2922,CHLR,2005,2
CHANCELLOR CORP,2922,CHLR,2007,3
CHANCELLOR CORP,2922,CHLR,2008,2
CHASE CORP,3203,CCF,2003,1
CHESAPEAKE CORP,2982,CSKEQ,2005,1
CHINA YUCHAI INTERNATIONAL,31424,CYD,2010,1
CINERGY CORP,30865,DUK6,2003,1
CIT GROUP INC,149738,CIT,2003,1
CITIGROUP INC,3243,C,2007,1
CITIGROUP INC,3243,C,2008,1
